order,filename,caption,collection_credit,image_credit,rights,source
1,images/met-239362.jpg,"Pierre-Adrien Dalpayrat, Bowl with two panthers, 1894–95. Stoneware. 24.3 × 35.9 × 29.5 cm. The Metropolitan Museum of Art, 2013.482.","Robert A. Ellison Jr. Collection, Purchase, Acquisitions Fund; Louis V. Bell, Harris Brisbane Dick, Fletcher, and Rogers Funds and Joseph Pulitzer Bequest; and 2011 Benefit Fund, 2013",The Metropolitan Museum of Art,Public Domain / Open Access,https://www.metmuseum.org/art/collection/search/239362
2,images/cma-1979.9.jpg,"Pierre-Adrien Dalpayrat, Vase, c. 1890. Stoneware. 33.9 × 16.4 cm (overall). The Cleveland Museum of Art, 1979.9.",Andrew R. and Martha Holden Jennings Fund,The Cleveland Museum of Art,CC0,https://clevelandart.org/art/1979.9
3,images/cma-1997.279.jpg,"Pierre-Adrien Dalpayrat, Vase, c. 1900. Stoneware. 10.5 cm (overall); diameter 9.6 cm. The Cleveland Museum of Art, 1997.279.",Gift of Henry H. Hawley,The Cleveland Museum of Art,CC0,https://clevelandart.org/art/1997.279
4,images/met-239363.jpg,"Pierre-Adrien Dalpayrat and Alphonse Voisin-Delacroix, Vase with face, 1892–93. Stoneware. 64.8 × 42.9 × 40.6 cm. The Metropolitan Museum of Art, 2013.481.","Robert A. Ellison Jr. Collection, Purchase, Acquisitions Fund; Louis V. Bell, Harris Brisbane Dick, Fletcher, and Rogers Funds and Joseph Pulitzer Bequest; and 2011 Benefit Fund, 2013",The Metropolitan Museum of Art,Public Domain / Open Access,https://www.metmuseum.org/art/collection/search/239363
5,images/cma-1975.119.jpg,"Pierre-Adrien Dalpayrat, Vase, c. 1900. Stoneware. 19.7 cm (overall). The Cleveland Museum of Art, 1975.119.","Gift of Mrs. S. Prentiss Baldwin, by exchange",The Cleveland Museum of Art,CC0,https://clevelandart.org/art/1975.119
6,images/cma-1997.286.jpg,"Pierre-Adrien Dalpayrat, Vase, c. 1900. Stoneware. 17.5 cm (overall); diameter 12.3 cm. The Cleveland Museum of Art, 1997.286.",Gift of Henry H. Hawley,The Cleveland Museum of Art,CC0,https://clevelandart.org/art/1997.286
